domain,term,definition,source
N/A,Account / Statement,"Systematic overview, grouping together related transactions, other flows, or positions. The closing balancing item often represents important macroeconomic indicators, such as value added, earned income, disposable income, and (changes in) net worth.",IMF
N/A,Accrual basis of recording / Accrual accounting,"Recording of flows and changes in positions at the time economic value is created, transformed, exchanged, transferred, or extinguished (which is not necessarily when cash or its equivalent is received or paid).",IMF
N/A,Accumulation of economic assets accounts / Accumulation accounts,"Accounts that cover changes in assets and liabilities and changes in net worth (the difference for any institutional unit or group of units between its assets and liabilities). These accounts consist of the capital account, financial account, other changes in the volume of assets and liabilities account, and revaluation account. In the external accounts, the scope of accumulation accounts is limited to the financial account, other changes in the volume of assets and liabilities account, and revaluation account, as the international investment position (IIP) relates only to external financial assets and liabilities.",IMF
N/A,Acquisition approach,Approach for measuring interest that reflects market conditions and expectations at the time of acquisition of a debt instrument. Interest is determined using the remaining yield-to-maturity at the time the debt instrument is acquired. The effective interest rate will change only if the security is resold in the secondary market.,IMF
N/A,Actual collective consumption,"The amount of consumption goods and services provided simultaneously to all members of the community or to all members of a particular section of the community. Actual collective consumption is only measured for the general government; the central bank; and, occasionally, NPISHs.",IMF
N/A,Actual final consumption,"The amount of consumption goods and services, whether individual or collective, acquired. Actual final consumption can be measured for households, the general government, the central bank, and NPISHs.",IMF
N/A,Actual individual consumption,The amount of consumption goods or services acquired by resident institutional units for the direct satisfaction of the needs or wants of individual households. Actual individual consumption is only measured for households.,IMF
N/A,Adjustment for the change in pension and non-pension entitlements,"Adjustment required to reconcile the treatment of pensions as current transfers (social contributions and social benefits) with the treatment of pension entitlements as financial assets. It may also include a similar adjustment for non-pension schemes. After the adjustment, the saving (SNA) and current account balances (BPM) are the same as they would have been if social contributions and benefits related to pensions (and non-pensions) had been considered as pure financial transactions and not recorded as current transfers.",IMF
N/A,Affiliates / Affiliated entities,"Enterprises in an immediate or indirect direct investment relationship with each other or that have the same immediate or indirect direct investor. Affiliates of an enterprise thus consist of its immediate or indirect direct investor(s), its immediate or indirect direct investment enterprise(s), and its fellow enterprise(s).",IMF
N/A,Allocated gold accounts,Accounts that provide ownership of a specific piece of gold.,IMF
N/A,American options,Option contracts where the buyer has the right to exercise the option at any time during the life of the contract.,IMF
N/A,Amortized value of a loan,"Amount that reflects the process of gradual elimination of the liability by regular payments over a specified period of time. On the date of each scheduled payment, the amortized value is the same as the nominal value, but it may differ from the nominal value on other dates because the nominal value includes interest that has accrued and not been paid.",IMF
N/A,Ancillary activity,Supporting activity undertaken within an enterprise to create the conditions within which the principal or secondary activities can be carried out.,IMF
N/A,Ancillary corporation,Wholly owned subsidiary whose productive activities are confined to providing services to the parent corporation or other affiliates owned by the same parent corporation.,IMF
N/A,Ancillary data,Data that are generated as an externality of production undertaken to create the conditions within which the principal or secondary activities can be carried out.,IMF
N/A,Animal resources yielding repeat products,"Animal resources yielding repeat products whose natural growth and regeneration are under the direct control, responsibility, and management of institutional units. They include breeding stocks, dairy cattle, draft animals, sheep, or other animals used for wool production and animals used for transportation, racing, or entertainment. Animals raised for slaughter are not included.",IMF
N/A,Antiques and other art objects,"Antiques, paintings, sculptures, and so on, recognized as works of art, which are not held by enterprises for sale. Museum exhibits are in principle included.",IMF
N/A,Arrears,Amounts that are unpaid and past the due date for payment.,IMF
N/A,Artificial intelligence,"Capabilities of a computer program, or system controlled by a computer program, of recognition, reasoning, communication, and prediction emulating human recognition, reasoning, and communication.",IMF
